area,price,new/resale,price_negotiable,security_deposit,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,builder_experience,Rain Water Harvesting,Intercom,Car Parking,price_per_sqft,amenities_score,location_Ambegaon Budruk,location_Aundh,location_Balewadi,location_Baner,location_Bavdhan,location_Bhegade Aali,location_Bhugaon,location_Bhukum,location_Bibwewadi Kondhwa Road,location_Deccan Gymkhana,location_Dhanori,location_Erandwane,location_Fursungi,location_Gahunje,location_Guruwar Peth,location_Hadapsar,location_Hinjawadi Village,location_Hinjewadi,location_Kalewadi,location_Karve Nagar,location_Keshav Nagar,location_Kharadi,location_Kondhwa,location_Kothrud,location_Lohegaon,location_MAE Campus,location_Maan,location_Mohammed wadi,location_Moshi,location_Mundhwa,location_NIBM Annex Mohammadwadi,location_Narhe,location_Old Sangvi,location_Pan Card Club Road,location_Pashan,location_Pimple Gurav,location_Pimple Saudagar,location_Punawale,location_Shewalewadi,location_Shivaji Nagar,location_Tathawade,location_Undri,location_Viman Nagar,location_Vishrantwadi,location_Wadgaon Sheri,location_Wagholi,location_Wakad,location_Warje,facing_east,facing_north,facing_northeast,facing_south,facing_southeast,facing_west
832,6500000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.1,89.5,0.0,0.0,0.0,7812.5,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
800,6000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.8,89.5,0.0,0.0,0.0,7500.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
849,3399396,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.0,89.5,0.0,0.0,0.0,4004.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1550,20498750,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9.0,89.5,0.0,0.0,0.0,13225.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
850,6400000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.9,89.5,0.0,0.0,0.0,7529.411764705882,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1090,5800000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.1,89.5,0.0,0.0,0.0,5321.100917431193,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2500,8000000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.2,89.5,0.0,0.0,0.0,3200.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3200,25000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.3,89.5,0.0,0.0,0.0,7812.5,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
260,1400000,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,8.8,89.5,0.0,0.0,0.0,5384.615384615385,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
833,4000000,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,8.0,22.0,1.0,1.0,1.0,4801.920768307323,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1900,11500000,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,8.8,89.5,0.0,0.0,0.0,6052.631578947368,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
